Occupation,year,wage,type,total_hours,wage_adj
freight handlers dock watchmen,1929,3.50,day,48,0.44
freight handlers dock watchmen,1930,3.50,day,48,0.44
freight handlers dock watchmen,1931,3.50,day,48,0.44
freight handlers dock watchmen,1932,3.15,day,48,0.39
freight handlers dock watchmen,1933,3.15,day,48,0.39
freight handlers railroad dock ,1928,0.55,hour,48,0.55
freight handlers railroad dock ,1929,0.55,hour,48,0.55
freight handlers railroad dock ,1930,0.55,hour,48,0.55
freight handlers railroad dock ,1931,0.55,hour,48,0.55
freight handlers railroad dock ,1932,0.50,hour,48,0.50
freight handlers railroad dock ,1933,0.41,hour,48,0.41
freight handlers railroad dock ,,,,,
